,App ID,Name,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU
20191,1686070,Powerjackers - VR Superhero Battle Royale,"Action, Indie","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Leaderboards, Online PvP, Online Co-op, LAN PvP, LAN Co-op, PvP",10000.0,0,1,1799,1799,0,0
20202,1686540,my fluffy life,"Casual, Simulation","Multi-player, Single-player, Steam Achievements, Cross-Platform Multiplayer",10000.0,61,8,499,499,0,0
20203,1686570,Plush Madness,"Action, Indie","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Online Co-op, Shared/Split Screen Co-op",10000.0,0,2,499,499,0,0
20210,1686860,NeverDeath,"Action, Adventure, Casual","Multi-player, Online PvP, PvP",10000.0,5,0,1999,1999,0,0
20211,1686870,中华富甲三国,"Casual, Strategy","Multi-player, Single-player, Online PvP, PvP",10000.0,20,8,999,999,0,2
20216,1687020,OneForAll,"Action, Adventure, Indie, Early Access","Multi-player, Single-player, Steam Achievements, In-App Purchases, Online PvP, LAN PvP, PvP",10000.0,6,3,599,599,0,0
20220,1687060,Lord of the Click 2,"Action, Adventure, Indie, Strategy","Multi-player, Single-player, Steam Achievements, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,18,3,1099,1099,0,0
20223,1687100,Era of Combat: Boxing,"Action, Sports, Early Access","Multi-player, Single-player, Steam Achievements, Online PvP, PvP",10000.0,28,13,1999,1999,0,2
20250,1688270,I've Seen Everything,"Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Leaderboards, Cross-Platform Multiplayer, Online PvP, Online Co-op, Remote Play Together, PvP",10000.0,2,2,799,799,0,0
20253,1688390,Nightron Wars,Action,"Multi-player, Single-player, Steam Cloud, Online PvP, PvP",10000.0,1,2,1099,1099,0,0
20257,1688600,Emperial Knights,"Action, RPG, Early Access","Multi-player, Single-player, Online PvP, LAN PvP, PvP",10000.0,1,0,999,999,0,0
20272,1689250,GATE,"Adventure, Indie, RPG, Simulation, Strategy","Multi-player, Single-player, Co-op, Steam Cloud, Steam Workshop, Online Co-op",10000.0,21,2,499,499,0,0
20276,1689410,Armada,"Action, Indie, Early Access","Multi-player, Online PvP, PvP",10000.0,4,1,99,99,0,0
20284,1689880,Killer Gin Battle Arcade,"Action, Casual, Indie, Early Access","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,2,0,999,999,0,0
20286,1689930,Alley Cat Bowling,"Casual, Free to Play, Simulation, Sports","Multi-player, Single-player, Online PvP, PvP",10000.0,9,0,199,199,0,0
20288,1690,Space Empires V,Strategy,"Multi-player, Single-player",75000.0,285,118,1499,1499,0,14
